Pennycress_Protein,PennycressGeneID,Domain1,Domain2,GO Terms,ArabidopsisGeneID,Arabidopsis_Protein_Name,Entrez_geneID
CAH2069658.1,TAV2_LOCUS19733,EF-hand domain pair,EF-hand domain,GO:0005509,AT5G57190,"phosphatidylserine	decarboxylase	2	","835825	"
CAH2069667.1,TAV2_LOCUS22274,Ca2+-ATPase N terminal autoinhibitory domain,"Calcium-transporting P-type ATPase, N-terminal autoinhibitory domain",GO:0005516,AT5G57110,"autoinhibited	Ca2+	""-ATPase,""	isoform	8	","835815	"
CAH2070173.1,TAV2_LOCUS21169,"ATPase_P-type: HAD ATPase, P-type, family IC",P-type ATPase,GO:0005215|GO:0005524|GO:0016021|GO:0016887,AT5G53010,"calcium-transporting	ATPase	","835380	"
CAH2069669.1,TAV2_LOCUS20801,Adaptin N terminal region,"Clathrin/coatomer adaptor, adaptin-like, N-terminal",GO:0006886|GO:0016192|GO:0030117,AT4G31480,"Coatomer,""	beta	subunit	","829275	"
CAH2077363.1,TAV2_LOCUS24211,Adaptin N terminal region,"Clathrin/coatomer adaptor, adaptin-like, N-terminal",GO:0006886|GO:0016192|GO:0030117,AT4G31480,"Coatomer,""	beta	subunit	","829275	"
CAH2069690.1,TAV2_LOCUS21777,Cystatin/monellin,Cystatin superfamily,-,AT5G56990,"proteinase	inhibitor	""I25,""	""cystatin,""	motif	protein	","835801	"
CAH2069703.1,TAV2_LOCUS20299,F-box domain,F-box-like domain superfamily,GO:0005515,AT5G56810,"F-box/RNI-like/FBD-like	domains-containing	protein	","835783	"
CAH2069704.1,TAV2_LOCUS20300,F-box domain,F-box-like domain superfamily,GO:0005515,AT5G56820,"F-box/RNI-like/FBD-like	domains-containing	protein	","835784	"
CAH2069710.1,TAV2_LOCUS18884,"Serine acetyltransferase, N-terminal","Serine acetyltransferase, N-terminal",GO:0005737|GO:0006535|GO:0009001,AT5G56760,"serine	acetyltransferase	1;1	","835778	"
CAH2069720.1,TAV2_LOCUS21069,NAC DOMAIN-CONTAINING PROTEIN 73,NAC domain-containing protein SOG1-like,GO:0003700,AT5G56620,"NAC	domain	containing	protein	99	","835763	"
CAH2077608.1,TAV2_LOCUS22665,NAC DOMAIN-CONTAINING PROTEIN 73,NAC domain-containing protein SOG1-like,GO:0003700,AT4G29230,"NAC	domain	containing	protein	75	","829044	"
CAH2069727.1,TAV2_LOCUS19575,F-box domain,F-box-like domain superfamily,GO:0005515,AT5G56570,"Leucine-rich	repeat	(LRR)	family	protein	","835758	"
CAH2069728.1,TAV2_LOCUS19578,F-box domain,F-box-like domain superfamily,GO:0005515,AT5G56570,"Leucine-rich	repeat	(LRR)	family	protein	","835758	"
CAH2077883.1,TAV2_LOCUS25210,JAB1/Mov34/MPN/PAD-1 ubiquitin protease,JAB1/MPN/MOV34 metalloenzyme domain,GO:0005515|GO:0008233|GO:0008237,AT4G26430,"COP9	signalosome	subunit	6B	","828749	"
CAH2069769.1,TAV2_LOCUS18909,JAB1/Mov34/MPN/PAD-1 ubiquitin protease,JAB1/MPN/MOV34 metalloenzyme domain,GO:0005515|GO:0008233|GO:0008237,AT5G56280,"COP9	signalosome	subunit	6A	","835727	"
CAH2077875.1,TAV2_LOCUS24295,"K Homology domain, type 1","K Homology domain, type 1 superfamily",GO:0003723,AT4G26480,"RNA-binding	KH	domain-containing	protein	","828754	"
CAH2069783.1,TAV2_LOCUS18464,"K Homology domain, type 1","K Homology domain, type 1 superfamily",GO:0003723,AT5G56140,"RNA-binding	KH	domain-containing	protein	","835713	"
CAH2069795.1,TAV2_LOCUS19419,Leucine rich repeat,Leucine-rich repeat,GO:0005515,AT5G56040,"Leucine-rich	receptor-like	protein	kinase	family	protein	","835702	"
CAH2077868.1,TAV2_LOCUS25640,Leucine rich repeat,Leucine-rich repeat,GO:0005515,AT4G26540,"Leucine-rich	repeat	receptor-like	protein	kinase	family	protein	","828760	"
CAH2069853.1,TAV2_LOCUS18689,"Eukaryotic DNA topoisomerase I, catalytic core","DNA topoisomerase I, catalytic core, eukaryotic-type",GO:0003677|GO:0003917|GO:0006265,AT4G26701,"DNA	binding	/	DNA	topoisomerase	type	I	","6241184	"
CAH2069852.1,TAV2_LOCUS18688,"Eukaryotic DNA topoisomerase I, catalytic core","DNA topoisomerase I, catalytic core, eukaryotic-type",GO:0003677|GO:0003917|GO:0006265,AT4G26701,"DNA	binding	/	DNA	topoisomerase	type	I	","6241184	"
CAH2069798.1,TAV2_LOCUS19424,-,"DNA topoisomerase I, catalytic core, alpha/beta subdomain",GO:0003677|GO:0003917|GO:0005694|GO:0006265,AT4G26701,"DNA	binding	/	DNA	topoisomerase	type	I	","6241184	"
CAH2077858.1,TAV2_LOCUS24039,KINESIN-LIKE PROTEIN KIN-12F,-,0,AT4G26660,"kinesin-like	protein	","828773	"
CAH2069803.1,TAV2_LOCUS20913,CENTROMERE PROTEIN E,-,0,AT5G55520,"kinesin-like	protein	","835646	"
CAH2069804.1,TAV2_LOCUS20914,"C2 domain (Calcium/lipid-binding domain, CaLB)",C2 domain superfamily,-,AT1G50530,"uncharacterized	protein	","841475	"
CAH2069819.1,TAV2_LOCUS20486,DEK PROTEIN,Protein DEK,GO:0003677|GO:0006325,AT5G55660,"DEK	domain-containing	chromatin	associated	protein	","835660	"
CAH2077860.1,TAV2_LOCUS24029,DEK PROTEIN,Protein DEK,GO:0003677|GO:0006325,AT4G26630,"DEK	domain-containing	chromatin	associated	protein	","828770	"
CAH2069844.1,TAV2_LOCUS22178,Protein kinase domain,Protein kinase domain,GO:0004672|GO:0005524|GO:0006468,AT5G55910,"D6	protein	kinase	","835689	"
CAH2077864.1,TAV2_LOCUS25636,"ISP4_OPT: small oligopeptide transporter, OPT family","Tetrapeptide transporter, OPT1/isp4",GO:0055085,AT4G26590,"oligopeptide	transporter	5	","828766	"
CAH2069846.1,TAV2_LOCUS22184,"ISP4_OPT: small oligopeptide transporter, OPT family","Tetrapeptide transporter, OPT1/isp4",GO:0055085,AT5G55930,"oligopeptide	transporter	1	","835691	"
CAH2077865.1,TAV2_LOCUS25637,"Zinc/RING finger domain, C3HC4 (zinc finger)","Zinc finger, RING/FYVE/PHD-type",-,AT4G26580,"RING/U-box	superfamily	protein	","828765	"
CAH2069850.1,TAV2_LOCUS22186,"Zinc/RING finger domain, C3HC4 (zinc finger)","Zinc finger, RING/FYVE/PHD-type",-,AT5G55970,"RING/U-box	superfamily	protein	","835695	"
CAH2077848.1,TAV2_LOCUS22726,PROTEIN REGULATOR OF CYTOKINESIS 1 PRC1-RELATED,"Microtubule-associated protein, MAP65/Ase1/PRC1",GO:0000226|GO:0008017,AT4G26760,"microtubule-associated	protein	65-2	","828783	"
CAH2069887.1,TAV2_LOCUS20095,PROTEIN REGULATOR OF CYTOKINESIS 1 PRC1-RELATED,"Microtubule-associated protein, MAP65/Ase1/PRC1",GO:0000226|GO:0008017,AT5G55230,"microtubule-associated	proteins	65-1	","835616	"
CAH2077841.1,TAV2_LOCUS23805,Glycosyl hydrolases family 17,Glycoside hydrolase family 17,GO:0004553|GO:0005975,AT4G26830,"O-Glycosyl	hydrolases	family	17	protein	","828790	"
CAH2069892.1,TAV2_LOCUS19441,"GLUCAN ENDO-1,3-BETA-GLUCOSIDASE BG1-RELATED-RELATED","Glycoside hydrolase family 17, plant",GO:0004553|GO:0005975,AT5G55180,"O-Glycosyl	hydrolases	family	17	protein	","835611	"
CAH2069903.1,TAV2_LOCUS19122,GDP-D-GLUCOSE PHOSPHORYLASE 1,GDP-L-galactose/GDP-D-glucose phosphorylase,GO:0080048,AT5G55120,"GDP-L-galactose	phosphorylase	VITAMIN	C	DEFECTIVE	5	(VTC5)	","835603	"
CAH2077839.1,TAV2_LOCUS23807,GDP-D-GLUCOSE PHOSPHORYLASE 1,GDP-L-galactose/GDP-D-glucose phosphorylase,GO:0080048,AT4G26850,"GDP-L-galactose	phosphorylase	1	","828792	"
CAH2069923.1,TAV2_LOCUS22027,ATAXIN 2-RELATED,Ataxin2-like,GO:0003723,AT5G54920,"polyadenylate-binding	protein	interacting	protein	","835583	"
CAH2077826.1,TAV2_LOCUS22828,ATAXIN 2-RELATED,Ataxin2-like,GO:0003723,AT4G26990,"polyadenylate-binding	protein	interacting	protein	","828807	"
CAH2077825.1,TAV2_LOCUS22827,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",RNA recognition motif domain,GO:0003723,AT4G27000,"RNA-binding	(RRM/RBD/RNP	motifs)	family	protein	","828808	"
CAH2069926.1,TAV2_LOCUS22032,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",RNA recognition motif domain,GO:0003723,AT5G54900,"RNA-binding	protein	45A	","835581	"
CAH2077816.1,TAV2_LOCUS25161,Trp-synth_B,"Tryptophan synthase, beta chain",GO:0004834|GO:0006568,AT4G27070,"tryptophan	synthase	beta-subunit	2	","828815	"
CAH2069935.1,TAV2_LOCUS19821,"trpB: tryptophan synthase, beta subunit","Tryptophan synthase, beta chain",GO:0004834|GO:0006568,AT5G54810,"tryptophan	synthase	beta-subunit	1	","835571	"
CAH2077813.1,TAV2_LOCUS25156,Rab-GTPase-TBC domain,Rab-GTPase-TBC domain,-,AT4G27100,"Ypt/Rab-GAP	domain	of	gyp1p	superfamily	protein	","828818	"
CAH2069939.1,TAV2_LOCUS19883,tbc_4,Rab-GTPase-TBC domain,-,AT5G54780,"Ypt/Rab-GAP	domain	of	gyp1p	superfamily	protein	","835568	"
CAH2069950.1,TAV2_LOCUS18836,Kinesin motor domain,Kinesin motor domain,GO:0003777|GO:0005524|GO:0007018|GO:0008017,AT5G54670,"kinesin	3	","835556	"
CAH2077804.1,TAV2_LOCUS25284,Microtubule binding,"Spindle pole body-associated protein Vik1/Cik1, microtubule binding domain",GO:0008017,AT4G27180,"kinesin	2	","828826	"
CAH2077801.1,TAV2_LOCUS25283,ADP-ribosylation,-,0,AT4G27240,"zinc	finger	(C2H2	type)	family	protein	","828832	"
CAH2069954.1,TAV2_LOCUS18840,-,-,0,AT5G54630,"zinc	finger	protein-like	protein	","835552	"
CAH2069967.1,TAV2_LOCUS20230,-,Light-dependent protochlorophyllide reductase,GO:0016630,AT5G54190,"protochlorophyllide	oxidoreductase	A	","835507	"
CAH2077778.1,TAV2_LOCUS23472,LPOR: light-dependent protochlorophyllide reductase,Light-dependent protochlorophyllide reductase,GO:0016630,AT4G27440,"protochlorophyllide	oxidoreductase	B	","828853	"
CAH2077799.1,TAV2_LOCUS24213,GH3 DOMAIN-CONTAINING PROTEIN,GH3 family,-,AT4G27260,"Auxin-responsive	GH3	family	protein	","828834	"
CAH2069972.1,TAV2_LOCUS21700,GH3 DOMAIN-CONTAINING PROTEIN,GH3 family,-,AT5G54510,"Auxin-responsive	GH3	family	protein	","835539	"
CAH2069989.1,TAV2_LOCUS20746,Root cap,Root cap,-,AT5G54370,"Late	embryogenesis	abundant	(LEA)	protein-like	protein	","835525	"
CAH2070011.1,TAV2_LOCUS21173,BNAA03G12100D PROTEIN,-,0,AT5G54148,"sarcosine	dehydrogenase-2C	protein	","7922423	"
CAH2070012.1,TAV2_LOCUS21174,BNAA03G12100D PROTEIN,-,0,AT5G54150,"uncharacterized	protein	","835503	"
CAH2070043.1,TAV2_LOCUS19612,BLUE COPPER PROTEIN,Phytocyanin,GO:0009055,AT5G53870,"early	nodulin-like	protein	1	","835468	"
CAH2077771.1,TAV2_LOCUS23637,Plastocyanin-like domain,Phytocyanin domain,GO:0009055,AT4G27520,"early	nodulin-like	protein	2	","828861	"
CAH2070103.1,TAV2_LOCUS18814,ANK_2a,Ankyrin repeat,GO:0005515,AT5G53470,"acyl-CoA	binding	protein	1	","835428	"
CAH2070110.1,TAV2_LOCUS20965,NUCLEAR MOVEMENT PROTEIN NUDC,NudC family,-,AT5G53400,"HSP20-like	chaperones	superfamily	protein	","835421	"
CAH2077736.1,TAV2_LOCUS24602,NUCLEAR MOVEMENT PROTEIN NUDC,NudC family,-,AT4G27890,"HSP20-like	chaperones	superfamily	protein	","828902	"
CAH2070157.1,TAV2_LOCUS22191,Glucose/ribitol dehydrogenase family signature,Short-chain dehydrogenase/reductase SDR,-,AT5G53100,"NAD(P)-binding	Rossmann-fold	superfamily	protein	","835390	"
CAH2070177.1,TAV2_LOCUS21165,TRANSMEMBRANE PROTEIN 199,"ATPase, vacuolar ER assembly factor, Vma12",GO:0070072,AT5G52980,"ER-based	factor	for	assembly	of	V-ATPase	","835377	"
CAH2070341.1,TAV2_LOCUS20159,#N/A,#N/A,#N/A,AT5G52980,"ER-based	factor	for	assembly	of	V-ATPase	","835377	"
CAH2070178.1,TAV2_LOCUS21162,TRANSMEMBRANE PROTEIN 199,"ATPase, vacuolar ER assembly factor, Vma12",GO:0070072,AT5G52980,"ER-based	factor	for	assembly	of	V-ATPase	","835377	"
CAH2070192.1,TAV2_LOCUS20103,fbox_2,F-box domain,GO:0005515,AT5G52880,"F-box	family	protein	","835365	"
CAH2070189.1,TAV2_LOCUS19659,OS05G0526300 PROTEIN,-,0,AT5G52880,"F-box	family	protein	","835365	"
CAH2070193.1,TAV2_LOCUS20104,OS05G0526300 PROTEIN,-,0,AT5G52880,"F-box	family	protein	","835365	"
CAH2070211.1,TAV2_LOCUS20934,-,-,0,AT5G52670,"Copper	transport	protein	family	","835344	"
CAH2070230.1,TAV2_LOCUS21947,F-box domain,F-box domain,GO:0005515,AT5G52460,"FBD,""	F-box	and	Leucine	Rich	Repeat	domains	containing	protein	","835322	"
CAH2070228.1,TAV2_LOCUS18478,CYCLIN-LIKE F-BOX,-,0,AT5G52460,"FBD,""	F-box	and	Leucine	Rich	Repeat	domains	containing	protein	","835322	"
CAH2070227.1,TAV2_LOCUS18477,fbox_2,F-box domain,GO:0005515,AT5G52460,"FBD,""	F-box	and	Leucine	Rich	Repeat	domains	containing	protein	","835322	"
CAH2070242.1,TAV2_LOCUS19432,EXOCYST COMPLEX PROTEIN EXO70,Exocyst complex component Exo70,GO:0000145|GO:0006887,AT5G52350,"exocyst	subunit	exo70	family	protein	A3	","835311	"
CAH2070243.1,TAV2_LOCUS19433,EXOCYST COMPLEX PROTEIN EXO70,Exocyst complex component Exo70,GO:0000145|GO:0006887,AT5G52340,"exocyst	subunit	exo70	family	protein	A2	","835310	"
CAH2077968.1,TAV2_LOCUS25902,CYTOCHROME B561-RELATED,Cytochrome b561/Cytochrome b reductase 1-like,GO:0016491,AT4G25570,"Cytochrome	b561/ferric	reductase	transmembrane	protein	family	","828662	"
CAH2070253.1,TAV2_LOCUS19052,CYTOCHROME B561-RELATED,Cytochrome b561/Cytochrome b reductase 1-like,GO:0016491,AT4G25570,"Cytochrome	b561/ferric	reductase	transmembrane	protein	family	","828662	"
CAH2070254.1,TAV2_LOCUS19055,CYTOCHROME B561-RELATED,Cytochrome b561/Cytochrome b reductase 1-like,GO:0016491,AT4G25570,"Cytochrome	b561/ferric	reductase	transmembrane	protein	family	","828662	"
CAH2077973.1,TAV2_LOCUS23063,START_1,START domain,GO:0008289,AT4G25530,"FLOWERING	WAGENINGEN	","828658	"
CAH2070266.1,TAV2_LOCUS20507,START domain,START domain,GO:0008289,AT5G52170,"homeodomain	GLABROUS	7	","835293	"
CAH2070290.1,TAV2_LOCUS21065,rav1_2,AP2/ERF domain,GO:0003700|GO:0006355,AT5G51990,"C-repeat-binding	factor	4	","835274	"
CAH2080425.1,TAV2_LOCUS26132,DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 1D,Dehydration-responsive element-binding protein 1A-I,GO:0003700,AT5G51990,"C-repeat-binding	factor	4	","835274	"
CAH2080576.1,TAV2_LOCUS26277,Ethylene responsive element binding protein signature,AP2/ERF domain,GO:0003700|GO:0006355,AT5G51990,"C-repeat-binding	factor	4	","835274	"
CAH2077980.1,TAV2_LOCUS23706,CCCH zinc finger,"Zinc finger, CCCH-type superfamily",GO:0046872,AT4G25440,"zinc	finger	WD40	repeat	protein	1	","828649	"
CAH2070291.1,TAV2_LOCUS21064,CCCH zinc finger,"Zinc finger, CCCH-type superfamily",GO:0046872,AT5G51980,"Transducin/WD40	repeat-like	superfamily	protein	","835273	"
CAH2077992.1,TAV2_LOCUS25425,AT-HOOK MOTIF NUCLEAR-LOCALIZED PROTEIN 9,AT-hook motif nuclear-localized protein,GO:0003680,AT4G25320,"AT	hook	motif	DNA-binding	family	protein	","828635	"
CAH2070337.1,TAV2_LOCUS20163,AT-HOOK MOTIF NUCLEAR-LOCALIZED PROTEIN 9,AT-hook motif nuclear-localized protein,GO:0003680,AT5G51590,"AT	hook	motif	DNA-binding	family	protein	","835233	"
CAH2070372.1,TAV2_LOCUS21685,Pectinesterase,"Pectinesterase, catalytic",GO:0030599|GO:0042545,AT5G51490,"Plant	invertase/pectin	methylesterase	inhibitor	superfamily	","835223	"
CAH2070371.1,TAV2_LOCUS20947,Pectinesterase,"Pectinesterase, catalytic",GO:0030599|GO:0042545,AT5G51500,"Plant	invertase/pectin	methylesterase	inhibitor	superfamily	","835224	"
CAH2070373.1,TAV2_LOCUS21684,Multicopper oxidase,"Multicopper oxidase, C-terminal",GO:0005507|GO:0016491,AT5G51480,"SKU5	similar	2	","835222	"
CAH2077999.1,TAV2_LOCUS23128,Multicopper oxidase,"Multicopper oxidase, C-terminal",GO:0005507|GO:0016491,AT4G25240,"SKU5	similar	1	","828627	"
CAH2078000.1,TAV2_LOCUS23127,CUE domain,Ubiquitin system component CUE,GO:0043130,AT4G25230,"RPM1	interacting	protein	2	","828626	"
CAH2070377.1,TAV2_LOCUS21680,"Zinc/RING finger domain, C3HC4 (zinc finger)","Zinc finger, RING/FYVE/PHD-type",-,AT5G51450,"RPM1	interacting	protein	3	","835219	"
CAH2078002.1,TAV2_LOCUS23129,"23.5 KDA HEAT SHOCK PROTEIN, MITOCHONDRIAL",Heat shock protein HSP14.7/HSP23.5/HSP23.6-like,-,AT4G25200,"mitochondrion-localized	small	heat	shock	protein	23.6	","828623	"
CAH2070378.1,TAV2_LOCUS21679,-,HSP20-like chaperone,-,AT5G51440,"HSP20-like	chaperones	superfamily	protein	","835218	"
CAH2070415.1,TAV2_LOCUS19072,FAD-binding domain,FAD-binding 8,GO:0016491,AT5G51060,"NADPH/respiratory	burst	oxidase	protein	D	","835179	"
CAH2078012.1,TAV2_LOCUS24482,Ferric reductase NAD binding domain,"Ferric reductase, NAD binding domain",GO:0016491,AT4G25090,"Riboflavin	synthase-like	superfamily	protein	","828612	"
CAH2070463.1,TAV2_LOCUS19869,Sugar efflux transporter for intercellular exchange,SWEET sugar transporter,GO:0016021,AT5G50800,"Nodulin	MtN3	family	protein	","835152	"
CAH2078021.1,TAV2_LOCUS23466,Sugar efflux transporter for intercellular exchange,SWEET sugar transporter,GO:0016021,AT4G25010,"Nodulin	MtN3	family	protein	","828604	"
CAH2078042.1,TAV2_LOCUS26072,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",RNA recognition motif domain,GO:0003723,AT4G24770,"31-kDa	RNA	binding	protein	","828579	"
CAH2070508.1,TAV2_LOCUS19159,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",RNA recognition motif domain,GO:0003723,AT5G50250,"chloroplast	RNA-binding	protein	31B	","835090	"
CAH2070546.1,TAV2_LOCUS19400,consensus disorder prediction,-,0,AT4G08510,"mediator	of	RNA	polymerase	II	transcription	subunit-like	protein	","826410	"
CAH2070547.1,TAV2_LOCUS21962,consensus disorder prediction,-,0,AT4G08510,"mediator	of	RNA	polymerase	II	transcription	subunit-like	protein	","826410	"
CAH2078056.1,TAV2_LOCUS23769,DHHC palmitoyltransferase,"Palmitoyltransferase, DHHC domain",GO:0016409,AT4G24630,"DHHC-type	zinc	finger	family	protein	","828565	"
CAH2070580.1,TAV2_LOCUS22148,DHHC palmitoyltransferase,"Palmitoyltransferase, DHHC domain",GO:0016409,AT5G50020,"DHHC-type	zinc	finger	family	protein	","835066	"
CAH2078079.1,TAV2_LOCUS22688,Ribonuclease Inhibitor,Leucine-rich repeat domain superfamily,-,AT4G24390,"RNI-like	superfamily	protein	","828541	"
CAH2070581.1,TAV2_LOCUS22146,LRR_CC_2,"Leucine-rich repeat, cysteine-containing subtype",-,AT5G49980,"auxin	F-box	protein	5	","835062	"
CAH2070616.1,TAV2_LOCUS20070,AIG1 family,AIG1-type guanine nucleotide-binding (G) domain,GO:0005525,AT4G09950,"P-loop	containing	nucleoside	triphosphate	hydrolases	superfamily	protein	","826585	"
CAH2070786.1,TAV2_LOCUS22297,consensus disorder prediction,-,0,AT5G50360,"von	willebrand	factor	A	domain	protein	","835103	"
CAH2078039.1,TAV2_LOCUS26069,Protein kinase-like (PK-like),Protein kinase-like domain superfamily,-,AT4G24810,"Protein	kinase	superfamily	protein	","828584	"
CAH2070796.1,TAV2_LOCUS22169,Protein kinase-like (PK-like),Protein kinase-like domain superfamily,-,AT5G50330,"Protein	kinase	superfamily	protein	","835099	"
CAH2070868.1,TAV2_LOCUS20371,ring_2,"Zinc finger, RING-type",-,AT1G33480,"RING/U-box	superfamily	protein	","840242	"
CAH2070890.1,TAV2_LOCUS21838,Cation transport protein,Cation transporter,GO:0006812|GO:0008324|GO:0055085,AT4G10310,"high-affinity	K+	transporter	1	","826623	"
CAH2070888.1,TAV2_LOCUS21846,Cation transport protein,Cation transporter,GO:0006812|GO:0008324|GO:0055085,AT4G10310,"high-affinity	K+	transporter	1	","826623	"
CAH2070889.1,TAV2_LOCUS21839,POTASSIUM TRANSPORT PROTEIN DDB_G0292412-RELATED,-,0,AT4G10310,"high-affinity	K+	transporter	1	","826623	"
CAH2070911.1,TAV2_LOCUS20688,Putative S-adenosyl-L-methionine-dependent methyltransferase,Putative S-adenosyl-L-methionine-dependent methyltransferase,GO:0008168,AT2G43200,"S-adenosyl-L-methionine-dependent	methyltransferases	superfamily	protein	","818921	"
CAH2070925.1,TAV2_LOCUS20683,-,Isopenicillin N synthase-like superfamily,-,AT4G10500,"2-oxoglutarate	(2OG)	and	Fe(II)-dependent	oxygenase	superfamily	protein	","826642	"
CAH2070920.1,TAV2_LOCUS20685,-,Isopenicillin N synthase-like superfamily,-,AT4G10490,"2-oxoglutarate	(2OG)	and	Fe(II)-dependent	oxygenase	superfamily	protein	","826641	"
CAH2079591.1,TAV2_LOCUS23321,Subtilase family,Peptidase S8/S53 domain,GO:0006508|GO:0008236,AT1G32980,"Subtilisin-like	serine	endopeptidase	family	protein	","840193	"
CAH2070992.1,TAV2_LOCUS20635,Subtilase family,Peptidase S8/S53 domain,GO:0006508|GO:0008236,AT1G32980,"Subtilisin-like	serine	endopeptidase	family	protein	","840193	"
CAH2070940.1,TAV2_LOCUS22137,Fibronectin type-III domain,"Subtilisin-like protease, fibronectin type-III domain",-,AT1G32980,"Subtilisin-like	serine	endopeptidase	family	protein	","840193	"
CAH2070963.1,TAV2_LOCUS19550,serkin_6,Protein kinase domain,GO:0004672|GO:0005524|GO:0006468,AT4G10730,"Protein	kinase	superfamily	protein	","826667	"
CAH2078107.1,TAV2_LOCUS25684,Protein kinase domain,Protein kinase domain,GO:0004672|GO:0005524|GO:0006468,AT4G24100,"Protein	kinase	superfamily	protein	","828510	"
CAH2078447.1,TAV2_LOCUS24770,"TRANSCRIPTION INITIATION FACTOR IIE, BETA SUBUNIT","Transcription initiation factor TFIIE, beta subunit",GO:0005673|GO:0006367,AT4G21010,"Transcription	initiation	factor	""TFIIE,""	beta	subunit	","827848	"
CAH2071088.1,TAV2_LOCUS21221,TFIIE beta subunit core domain,"Transcription factor TFIIE beta subunit, DNA-binding domain",GO:0006367,AT4G20330,"Transcription	initiation	factor	""TFIIE,""	beta	subunit	","827781	"
CAH2071133.1,TAV2_LOCUS19500,RETICULON,"Reticulon-like protein, plant",GO:0009617,AT4G11220,"VIRB2-interacting	protein	2	","826724	"
CAH2078158.1,TAV2_LOCUS23754,RETICULON,"Reticulon-like protein, plant",GO:0009617,AT4G23630,"VIRB2-interacting	protein	1	","828463	"
CAH2071195.1,TAV2_LOCUS19373,ADAPTOR COMPLEX SUBUNIT BETA FAMILY MEMBER,AP complex subunit beta,GO:0016192,AT4G23460,"Adaptin	family	protein	","828445	"
CAH2078178.1,TAV2_LOCUS25003,ADAPTOR COMPLEX SUBUNIT BETA FAMILY MEMBER,AP complex subunit beta,GO:0016192,AT4G23460,"Adaptin	family	protein	","828445	"
CAH2079944.1,TAV2_LOCUS24151,FAD/NAD(P)-binding domain,FAD/NAD(P)-binding domain superfamily,-,AT5G39940,"FAD/NAD(P)-binding	oxidoreductase	family	protein	","833991	"
CAH2079957.1,TAV2_LOCUS25462,"TIGR00275: flavoprotein, HI0933 family","3-Dehydro-bile acid delta(4,6)-reductase-like",-,AT5G39940,"FAD/NAD(P)-binding	oxidoreductase	family	protein	","833991	"
CAH2071233.1,TAV2_LOCUS19831,OS12G0638800 PROTEIN,"3-Dehydro-bile acid delta(4,6)-reductase-like",-,AT5G39940,"FAD/NAD(P)-binding	oxidoreductase	family	protein	","833991	"
